Index,Sentiment
1,NEGATIVE
2,NEGATIVE
3,NEGATIVE
4,NEGATIVE
5,NEGATIVE
6,NEGATIVE
7,NEGATIVE
8,NEUTRAL
9,NEUTRAL
10,NEUTRAL
11,NEGATIVE
12,NEGATIVE
13,NEGATIVE
14,NEUTRAL
15,NEUTRAL
16,NEGATIVE
17,NEGATIVE
18,NEGATIVE
19,NEGATIVE
20,NEUTRAL
21,NEUTRAL
22,NEGATIVE
23,NEGATIVE
24,NEGATIVE
25,NEGATIVE
26,NEUTRAL
27,NEUTRAL
28,NEGATIVE
29,NEUTRAL
30,NEGATIVE
31,NEGATIVE
32,NEGATIVE
33,NEGATIVE
34,NEGATIVE
35,NEUTRAL
36,NEGATIVE
37,NEGATIVE
38,NEGATIVE
39,NEGATIVE
40,NEGATIVE
41,NEGATIVE
42,NEGATIVE
43,NEUTRAL
44,NEUTRAL
45,NEGATIVE
46,NEUTRAL
47,NEUTRAL
48,NEGATIVE
49,NEUTRAL
50,NEUTRAL
51,NEGATIVE
52,NEUTRAL
53,NEGATIVE
54,NEGATIVE
55,NEGATIVE
56,NEUTRAL
57,NEUTRAL
58,NEUTRAL
59,NEUTRAL
60,NEGATIVE
61,NEGATIVE
62,NEUTRAL
63,NEUTRAL
64,NEGATIVE
65,NEGATIVE
66,NEGATIVE
67,NEGATIVE
68,NEGATIVE
69,NEGATIVE
70,NEGATIVE
71,NEGATIVE
72,NEGATIVE
73,NEUTRAL
74,NEGATIVE
75,NEUTRAL
76,NEGATIVE
77,NEGATIVE
78,NEGATIVE
79,NEUTRAL
80,NEUTRAL
81,NEUTRAL
82,NEGATIVE
83,NEGATIVE
84,NEGATIVE
85,NEGATIVE
86,NEGATIVE
87,NEGATIVE
88,NEGATIVE
89,NEGATIVE
90,NEGATIVE
91,NEGATIVE
92,NEUTRAL
93,NEGATIVE
94,NEGATIVE
95,NEUTRAL
96,NEGATIVE
97,NEUTRAL
98,NEGATIVE
99,NEUTRAL
100,NEGATIVE
101,NEGATIVE
102,NEGATIVE
103,NEGATIVE
104,NEUTRAL
105,NEUTRAL
106,NEGATIVE
107,NEUTRAL
108,NEUTRAL
109,NEUTRAL
110,NEGATIVE
111,NEGATIVE
112,NEGATIVE
113,NEGATIVE
114,NEGATIVE
115,NEUTRAL
116,NEUTRAL
117,NEUTRAL
118,NEGATIVE
119,NEGATIVE
120,NEUTRAL
121,NEUTRAL
122,NEGATIVE
123,NEUTRAL
124,NEGATIVE
125,NEUTRAL
126,NEUTRAL
127,NEUTRAL
128,NEUTRAL
129,NEGATIVE
130,NEGATIVE
131,NEGATIVE
132,NEGATIVE
133,NEUTRAL
134,NEGATIVE
135,NEGATIVE
136,NEGATIVE
137,NEGATIVE
138,NEGATIVE
139,NEGATIVE
140,NEGATIVE
141,NEGATIVE
142,NEGATIVE
143,NEGATIVE
144,NEUTRAL
145,NEGATIVE
146,NEGATIVE
147,NEGATIVE
148,NEGATIVE
149,NEGATIVE
150,NEGATIVE
151,NEGATIVE
152,NEGATIVE
153,NEGATIVE
154,NEUTRAL
155,NEGATIVE
156,NEGATIVE
157,NEUTRAL
158,NEGATIVE
159,NEUTRAL
160,NEUTRAL
161,NEGATIVE
162,NEGATIVE
163,NEGATIVE
164,NEUTRAL
165,NEGATIVE
166,NEUTRAL
167,NEUTRAL
168,NEGATIVE
169,NEGATIVE
170,NEUTRAL
171,NEGATIVE
172,NEGATIVE
173,NEGATIVE
174,NEGATIVE
175,NEGATIVE
176,NEGATIVE
177,NEGATIVE
178,NEUTRAL
179,NEGATIVE
180,NEGATIVE
181,NEGATIVE
182,NEUTRAL
183,NEGATIVE
184,NEGATIVE
185,NEGATIVE
186,NEGATIVE
187,NEGATIVE
188,NEGATIVE
189,NEGATIVE
190,NEGATIVE
191,NEUTRAL
192,NEGATIVE
193,NEGATIVE
194,NEGATIVE
195,NEGATIVE
196,NEGATIVE
197,NEGATIVE
198,NEGATIVE
199,NEUTRAL
200,NEUTRAL
201,NEGATIVE
202,NEGATIVE
203,NEGATIVE
204,NEGATIVE
205,NEGATIVE
206,NEGATIVE
207,NEGATIVE
208,NEGATIVE
209,NEGATIVE
210,NEGATIVE
211,NEUTRAL
212,NEUTRAL
213,NEGATIVE
214,NEUTRAL
215,NEGATIVE
216,NEUTRAL
217,NEUTRAL
218,NEUTRAL
219,NEUTRAL
220,NEGATIVE
221,NEUTRAL
222,NEGATIVE
223,NEUTRAL
224,NEUTRAL
225,NEUTRAL
226,NEGATIVE
227,NEGATIVE
228,NEGATIVE
229,NEUTRAL
230,NEGATIVE
231,NEGATIVE
232,NEGATIVE
233,NEUTRAL
234,NEUTRAL
235,NEGATIVE
236,NEGATIVE
237,NEUTRAL
238,NEGATIVE
239,NEGATIVE
240,NEUTRAL
241,NEGATIVE
242,NEGATIVE
243,NEUTRAL
244,NEGATIVE
245,NEGATIVE
246,NEGATIVE
247,NEUTRAL
248,NEGATIVE
249,NEGATIVE
250,NEGATIVE
251,NEGATIVE
252,NEGATIVE
253,NEUTRAL
254,NEGATIVE
255,NEGATIVE
256,NEGATIVE
257,NEGATIVE
258,NEUTRAL
259,NEGATIVE
260,NEUTRAL
261,NEGATIVE
262,NEGATIVE
263,NEGATIVE
264,NEGATIVE
265,NEGATIVE
266,NEGATIVE
267,NEGATIVE
268,NEUTRAL
269,NEGATIVE
270,NEGATIVE
271,NEGATIVE
272,NEGATIVE
273,NEGATIVE
274,NEGATIVE
275,NEUTRAL
276,NEUTRAL
277,NEUTRAL
278,NEGATIVE
279,NEUTRAL
280,NEUTRAL
281,NEUTRAL
282,NEGATIVE
283,NEGATIVE
284,NEGATIVE
285,NEUTRAL
286,NEGATIVE
287,NEGATIVE
288,NEGATIVE
289,NEUTRAL
290,NEUTRAL
291,NEGATIVE
292,NEGATIVE
293,NEGATIVE
294,NEUTRAL
295,NEGATIVE
296,NEUTRAL
297,NEGATIVE
298,NEGATIVE
299,NEGATIVE
300,NEGATIVE
301,NEUTRAL
302,NEGATIVE
303,NEGATIVE
304,NEGATIVE
305,NEGATIVE
306,NEGATIVE
307,NEGATIVE
308,NEGATIVE
309,NEGATIVE
310,NEGATIVE
311,NEGATIVE
312,NEGATIVE
313,NEGATIVE
314,NEUTRAL
315,NEUTRAL
316,NEGATIVE
317,NEGATIVE
318,NEGATIVE
319,NEGATIVE
320,NEGATIVE
321,NEUTRAL
322,NEGATIVE
323,NEGATIVE
324,NEGATIVE
325,NEGATIVE
326,NEGATIVE
327,NEGATIVE
328,NEGATIVE
329,NEGATIVE
330,NEGATIVE
331,NEGATIVE
332,NEGATIVE
333,NEUTRAL
334,NEGATIVE
335,NEGATIVE
336,NEGATIVE
337,NEUTRAL
338,NEUTRAL
339,NEGATIVE
340,NEGATIVE
341,NEGATIVE
342,NEGATIVE
343,NEGATIVE
344,NEUTRAL
345,NEGATIVE
346,NEGATIVE
347,NEGATIVE
348,NEGATIVE
349,NEGATIVE
350,NEGATIVE
351,NEUTRAL
352,NEGATIVE
353,NEGATIVE
354,NEGATIVE
355,NEGATIVE
356,NEGATIVE
357,NEGATIVE
358,NEUTRAL
359,NEUTRAL
360,NEGATIVE
361,NEUTRAL
362,NEUTRAL
363,NEUTRAL
364,NEGATIVE
365,NEUTRAL
366,NEGATIVE
367,NEGATIVE
368,NEUTRAL
369,NEGATIVE
370,NEUTRAL
371,NEGATIVE
372,NEGATIVE
373,NEUTRAL
374,NEGATIVE
375,NEGATIVE
376,NEGATIVE
377,NEGATIVE
378,NEGATIVE
379,NEGATIVE
380,NEGATIVE
381,NEGATIVE
382,NEGATIVE
383,NEUTRAL
384,NEGATIVE
385,NEUTRAL
386,NEGATIVE
387,NEGATIVE
388,NEGATIVE
389,NEUTRAL
390,NEUTRAL
391,NEGATIVE
392,NEGATIVE
393,NEUTRAL
394,NEUTRAL
395,NEGATIVE
396,NEGATIVE
397,NEGATIVE
398,NEUTRAL
399,NEGATIVE
400,NEGATIVE
401,NEGATIVE
402,NEUTRAL
403,NEGATIVE
404,NEUTRAL
405,NEUTRAL
406,NEGATIVE
407,NEGATIVE
408,NEGATIVE
409,NEGATIVE
410,NEGATIVE
411,NEGATIVE
412,NEGATIVE
413,NEUTRAL
414,NEGATIVE
415,NEGATIVE
416,NEUTRAL
417,NEUTRAL
418,NEGATIVE
419,NEGATIVE
420,NEGATIVE
421,NEGATIVE
422,NEGATIVE
423,NEUTRAL
424,NEUTRAL
425,NEGATIVE
426,NEGATIVE
427,NEGATIVE
428,NEGATIVE
429,NEUTRAL
430,NEGATIVE
431,NEGATIVE
432,NEGATIVE
